Date,Day,Name of place,Location (approximate),Details,Source url,Image url,Icon 1,lon,lat,
17/11/2012,Saturday,Eshkol,"31.245682, 34.413300","5 rockets fall in open spaces, none wounded",http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.245682,34.4133,
17/11/2012,Saturday,Be'er Sheva,"31.251552, 34.791985",Two rockets explode in open areas near Be'er Sheva,http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.251552,34.791985,
17/11/2012,Saturday,Ashdod,"31.8051, 34.6561",Rocket hits a 10-story residential building in the center of Ashdod. Home Front Command seals the building to assess damages,http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.8051,34.6561,
17/11/2012,Saturday,Be'er Tuvia,"31.7368, 34.7252","Rocket hits Be'er Tuvia house, destroying home of two elderly women, and damaging two others; none wounded",http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.7368,34.7252,
17/11/2012,Saturday,Eshkol,"31.245682, 34.413300","Gaza rocket hits a home in the Eshkol Regional Council, no casualties reported",http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.245682,34.4133,
17/11/2012,Saturday,Sha'ar Hanegev,"31.5092, 34.6273","Seven rockets explode in open areas in Sha'ar Hanegev Regional Council and Eshkol Regional Council; one rocket explodes in a town in Eshkol, no casualties reported",http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.5092,34.6273,
17/11/2012,Saturday,Rafah,"31.2937, 34.2475","Palestinians report 5 killed in IAF attack on Rafah, raising the reported death toll in Gaza to 39 since the beginning of Operation Pillar of Defense",http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.2937,34.2475,
17/11/2012,Saturday,Eshkol,"31.245682, 34.413300",Three Israelis wounded after Gaza rocket explodes in the Eshkol Regional Council,http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.245682,34.4133,
17/11/2012,Saturday,Be'er Tuvia,"31.7368, 34.7252","A house in the Be'er Tuvia Regional Council suffers a direct rocket hit, no casualties reported, damage done to three houses",http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.7368,34.7252,
17/11/2012,Saturday,Ashdod,"31.8051, 34.6561","Rocket explodes in the yard of a house near Ashdod, no reports of casualties",http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.8051,34.6561,
17/11/2012,Saturday,Bnei Shimon,"31.3492, 34.743",Rocket explodes in Bnei Shimon Regional Council. No casualties or damage reported,http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.3492,34743,
17/11/2012,Saturday,Khan Younis,"31.3498, 34.2980",Israel Air Forces strike in Khan Younis kills Palestinian,http://www.haaretz.com/news/diplomacy-defense/live-blog-idf-prepares-for-ground-invasion-as-gaza-offensive-enters-fourth-day-1.478505,,placemark_circle_highlight,31.3498,34298,
